Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2021-01-01,1,Ciutat Vella,1,el Raval,1,12,1,88
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,1,89
2021-01-01,1,Ciutat Vella,1,el Raval,1,10,1,90
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,1,91
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,1,92
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,1,93
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,1,94
2021-01-01,1,Ciutat Vella,1,el Raval,1,5,1,96
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,1,98
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,1,99
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,1,100
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,2,0
2021-01-01,1,Ciutat Vella,1,el Raval,1,11,2,1
2021-01-01,1,Ciutat Vella,1,el Raval,1,12,2,2
2021-01-01,1,Ciutat Vella,1,el Raval,1,13,2,3
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,2,4
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,2,5
2021-01-01,1,Ciutat Vella,1,el Raval,1,12,2,6
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,2,7
2021-01-01,1,Ciutat Vella,1,el Raval,1,5,2,8
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,9
2021-01-01,1,Ciutat Vella,1,el Raval,1,13,2,10
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,2,11
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,2,12
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,2,13
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,2,14
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,15
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,2,16
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,2,17
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,2,18
2021-01-01,1,Ciutat Vella,1,el Raval,1,17,2,19
2021-01-01,1,Ciutat Vella,1,el Raval,1,14,2,20
2021-01-01,1,Ciutat Vella,1,el Raval,1,20,2,21
2021-01-01,1,Ciutat Vella,1,el Raval,1,20,2,22
2021-01-01,1,Ciutat Vella,1,el Raval,1,18,2,23
2021-01-01,1,Ciutat Vella,1,el Raval,1,25,2,24
2021-01-01,1,Ciutat Vella,1,el Raval,1,35,2,25
2021-01-01,1,Ciutat Vella,1,el Raval,1,36,2,26
2021-01-01,1,Ciutat Vella,1,el Raval,1,33,2,27
2021-01-01,1,Ciutat Vella,1,el Raval,1,50,2,28
2021-01-01,1,Ciutat Vella,1,el Raval,1,38,2,29
2021-01-01,1,Ciutat Vella,1,el Raval,1,52,2,30
2021-01-01,1,Ciutat Vella,1,el Raval,1,44,2,31
2021-01-01,1,Ciutat Vella,1,el Raval,1,47,2,32
2021-01-01,1,Ciutat Vella,1,el Raval,1,25,2,33
2021-01-01,1,Ciutat Vella,1,el Raval,1,39,2,34
2021-01-01,1,Ciutat Vella,1,el Raval,1,33,2,35
2021-01-01,1,Ciutat Vella,1,el Raval,1,37,2,36
2021-01-01,1,Ciutat Vella,1,el Raval,1,39,2,37
2021-01-01,1,Ciutat Vella,1,el Raval,1,37,2,38
2021-01-01,1,Ciutat Vella,1,el Raval,1,38,2,39
2021-01-01,1,Ciutat Vella,1,el Raval,1,44,2,40
2021-01-01,1,Ciutat Vella,1,el Raval,1,39,2,41
2021-01-01,1,Ciutat Vella,1,el Raval,1,35,2,42
2021-01-01,1,Ciutat Vella,1,el Raval,1,20,2,43
2021-01-01,1,Ciutat Vella,1,el Raval,1,22,2,44
2021-01-01,1,Ciutat Vella,1,el Raval,1,18,2,45
2021-01-01,1,Ciutat Vella,1,el Raval,1,26,2,46
2021-01-01,1,Ciutat Vella,1,el Raval,1,15,2,47
2021-01-01,1,Ciutat Vella,1,el Raval,1,11,2,48
2021-01-01,1,Ciutat Vella,1,el Raval,1,15,2,49
2021-01-01,1,Ciutat Vella,1,el Raval,1,18,2,50
2021-01-01,1,Ciutat Vella,1,el Raval,1,22,2,51
2021-01-01,1,Ciutat Vella,1,el Raval,1,22,2,52
2021-01-01,1,Ciutat Vella,1,el Raval,1,15,2,53
2021-01-01,1,Ciutat Vella,1,el Raval,1,16,2,54
2021-01-01,1,Ciutat Vella,1,el Raval,1,22,2,55
2021-01-01,1,Ciutat Vella,1,el Raval,1,17,2,56
2021-01-01,1,Ciutat Vella,1,el Raval,1,16,2,57
2021-01-01,1,Ciutat Vella,1,el Raval,1,11,2,58
2021-01-01,1,Ciutat Vella,1,el Raval,1,11,2,59
2021-01-01,1,Ciutat Vella,1,el Raval,1,13,2,60
2021-01-01,1,Ciutat Vella,1,el Raval,1,16,2,61
2021-01-01,1,Ciutat Vella,1,el Raval,1,11,2,62
