Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Distribucio_P80_20,Index_Gini,Import_Renda_Disponible,Import_Renda_Bruta,Import_Renda_Neta,Edat_Mitjana
2020,4,Les Corts,20,la Maternitat i Sant Ramon,39,3.1,32.0,21835.73,21848,17520,45.5515862194346
2020,4,Les Corts,20,la Maternitat i Sant Ramon,40,2.7,31.7,18129.95,18391,14612,45.5515862194346
2020,4,Les Corts,20,la Maternitat i Sant Ramon,41,2.8,32.1,19873.51,19645,16117,45.5515862194346
2020,4,Les Corts,20,la Maternitat i Sant Ramon,42,2.5,30.0,19136.27,19133,15714,45.5515862194346
2020,4,Les Corts,20,la Maternitat i Sant Ramon,43,2.5,28.5,27915.34,29246,22670,46.67896512935883
2020,4,Les Corts,20,la Maternitat i Sant Ramon,44,2.9,31.0,22036.84,22131,17828,46.67896512935883
2020,4,Les Corts,20,la Maternitat i Sant Ramon,45,2.8,30.6,21199.09,21342,17256,46.67896512935883
2020,4,Les Corts,20,la Maternitat i Sant Ramon,46,2.3,28.7,29312.84,30923,23678,46.67896512935883
2020,4,Les Corts,20,la Maternitat i Sant Ramon,47,2.5,31.8,25421.98,26193,20389,46.67896512935883
2020,4,Les Corts,20,la Maternitat i Sant Ramon,48,2.5,30.2,27061.86,28282,21803,45.56047784967645
2020,4,Les Corts,20,la Maternitat i Sant Ramon,49,3.2,35.1,34612.18,36565,26950,45.56047784967645
2020,4,Les Corts,21,Pedralbes,50,3.3,39.9,41701.19,45312,31670,45.57942176870748
2020,4,Les Corts,21,Pedralbes,51,2.6,33.2,29902.39,31304,23497,45.57942176870748
2020,4,Les Corts,21,Pedralbes,52,3.5,40.6,41379.71,45312,31670,45.57942176870748
2020,4,Les Corts,21,Pedralbes,53,3.3,38.2,26742.01,31086,21129,42.292929292929294
2020,4,Les Corts,21,Pedralbes,54,3.3,39.4,37390.84,43208,29082,42.292929292929294
2020,4,Les Corts,21,Pedralbes,55,4.4,44.4,41173.23,45312,31670,42.764439068642275
2020,4,Les Corts,21,Pedralbes,56,4.4,44.4,41495.61,45312,31670,42.764439068642275
2020,4,Les Corts,20,la Maternitat i Sant Ramon,84,2.8,33.2,28895.28,30800,23228,
